"Title","Artist","Album","YouTubeMusicUrl","AlbumArtUrl"
"No One","Alicia Keys","As I Am (Expanded Edition)","https://music.youtube.com/search?q=Alicia%20Keys%20No%20One","https://cdn-images.dzcdn.net/images/cover/b9f3ff7c0514902ec94751360154f25b/1000x1000-000000-80-0-0.jpg"
"Melancholy Astronautic Man","Allie Moss","Late Bloomer","https://music.youtube.com/search?q=Allie%20Moss%20Melancholy%20Astronautic%20Man",""
"The First Sight of the New World","Amadeus Indetzki","Rise of the Giant","https://music.youtube.com/search?q=Amadeus%20Indetzki%20The%20First%20Sight%20of%20the%20New%20World","https://cdn-images.dzcdn.net/images/cover/d5b4d972cf7c566f1ea48229074babdb/1000x1000-000000-80-0-0.jpg"
"人質","aMEI","I Want Happiness?","https://music.youtube.com/search?q=aMEI%20%E4%BA%BA%E8%B3%AA",""
"Believer","American Authors","Good Danny’s 3/15/2014","https://music.youtube.com/search?q=American%20Authors%20Believer","https://cdn-images.dzcdn.net/images/cover/84ad4dba53fe9755b599ebce492233c4/1000x1000-000000-80-0-0.jpg"
"1 Thing","Amerie","Touch","https://music.youtube.com/search?q=Amerie%201%20Thing","https://cdn-images.dzcdn.net/images/cover/7ce44c4450d9e2153706f0840d843e1c/1000x1000-000000-80-0-0.jpg"
"Heartbeats","Amy Diamond","Swings and Roundabouts","https://music.youtube.com/search?q=Amy%20Diamond%20Heartbeats","https://cdn-images.dzcdn.net/images/cover/d4c881b5fd2b285899e750893c406d48/1000x1000-000000-80-0-0.jpg"
"She's On Fire","Amy Holland","She's On Fire","https://music.youtube.com/search?q=Amy%20Holland%20She%27s%20On%20Fire","https://cdn-images.dzcdn.net/images/cover/9cc27739273df10c34b248b03280ba7a/1000x1000-000000-80-0-0.jpg"
"Mess Her Up (Single Edit)","Amy Shark","Mess Her Up","https://music.youtube.com/search?q=Amy%20Shark%20Mess%20Her%20Up%20%28Single%20Edit%29","https://cdn-images.dzcdn.net/images/cover/a964bf839bbe673a819a2193ffcdd3a8/1000x1000-000000-80-0-0.jpg"
"Sooner","Andrew Allen","Sooner","https://music.youtube.com/search?q=Andrew%20Allen%20Sooner","https://cdn-images.dzcdn.net/images/cover/1193b8b34c3e5d6edb365c0cee994075/1000x1000-000000-80-0-0.jpg"
"Klicks","Andrew Applepie","3","https://music.youtube.com/search?q=Andrew%20Applepie%20Klicks",""
"Japanese Boy","Aneka","Aneka","https://music.youtube.com/search?q=Aneka%20Japanese%20Boy","https://cdn-images.dzcdn.net/images/cover/1bdd14f2a7aaf8948b1a58e3f99f8a53/1000x1000-000000-80-0-0.jpg"
"Perfect (Ed Sheeran Cover)","AnicaStemper","Perfect (Ed Sheeran Cover) - Single","https://music.youtube.com/search?q=AnicaStemper%20Perfect%20%28Ed%20Sheeran%20Cover%29",""
"Karano Kokoro","Anly","Karano Kokoro - EP","https://music.youtube.com/search?q=Anly%20Karano%20Kokoro","https://cdn-images.dzcdn.net/images/cover/47020f8898b34ef81c973b051cabedc4/1000x1000-000000-80-0-0.jpg"
"2002","Anne-Marie","Speak Your Mind (Deluxe)","https://music.youtube.com/search?q=Anne-Marie%202002","https://cdn-images.dzcdn.net/images/cover/05324f09b36811d11f160b72eb5fb354/1000x1000-000000-80-0-0.jpg"
"Alarm","Anne-Marie","Upbeat Workout","https://music.youtube.com/search?q=Anne-Marie%20Alarm","https://cdn-images.dzcdn.net/images/cover/8f152e1da4b3bb1ebbf33381b2a88f75/1000x1000-000000-80-0-0.jpg"
"The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"":I. Allegro","Anne-Sophie Mutter/Herbert von Karajan/Peter Alward/Wiener Philharmoniker","The Four Seasons, Violin Concerto in E Major, Op. 8 No. 1, RV 269 ""Spring"":I. Allegro - Single","https://music.youtube.com/search?q=Anne-Sophie%20Mutter%2FHerbert%20von%20Karajan%2FPeter%20Alward%2FWiener%20Philharmoniker%20The%20Four%20Seasons%2C%20Violin%20Concerto%20in%20E%20Major%2C%20Op.%208%20No.%201%2C%20RV%20269%20%22Spring%22%3AI.%20Allegro",""
"7 rings","Ariana Grande","thank u, next","https://music.youtube.com/search?q=Ariana%20Grande%207%20rings","https://cdn-images.dzcdn.net/images/cover/49e86e935da829b44cb5ffae16826e55/1000x1000-000000-80-0-0.jpg"
"break up with your girlfriend, i'm bored","Ariana Grande","thank u, next","https://music.youtube.com/search?q=Ariana%20Grande%20break%20up%20with%20your%20girlfriend%2C%20i%27m%20bored","https://cdn-images.dzcdn.net/images/cover/49e86e935da829b44cb5ffae16826e55/1000x1000-000000-80-0-0.jpg"
"Focus","Ariana Grande","Dangerous Woman Tour: Studio Experience","https://music.youtube.com/search?q=Ariana%20Grande%20Focus","https://cdn-images.dzcdn.net/images/cover/96cbf20ca08cd1ec39b268bd08d8296d/1000x1000-000000-80-0-0.jpg"
"God is a woman","Ariana Grande","Sweetener","https://music.youtube.com/search?q=Ariana%20Grande%20God%20is%20a%20woman","https://cdn-images.dzcdn.net/images/cover/8a5d4fa5c1b97100bf128909d766f06f/1000x1000-000000-80-0-0.jpg"
"Love Me Harder (Feat. The Weeknd)","Ariana Grande","My Everything","https://music.youtube.com/search?q=Ariana%20Grande%20Love%20Me%20Harder%20%28Feat.%20The%20Weeknd%29","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
"thank u, next","Ariana Grande","thank u, next","https://music.youtube.com/search?q=Ariana%20Grande%20thank%20u%2C%20next","https://cdn-images.dzcdn.net/images/cover/49e86e935da829b44cb5ffae16826e55/1000x1000-000000-80-0-0.jpg"
"Why Try","Ariana Grande","My Everything","https://music.youtube.com/search?q=Ariana%20Grande%20Why%20Try","https://cdn-images.dzcdn.net/images/cover/b5021d5a88c44071a97416c65d4dbdd9/1000x1000-000000-80-0-0.jpg"
